Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
60.5,72.99,9.96,725.80,7218.00,10.03,
61.0,78.49,9.87,693.10,7494.00,9.95,
61.5,76.59,9.86,782.10,7708.00,9.93,
62.0,148.81,9.74,1371.50,13444.00,9.89,
62.5,101.73,9.89,1059.60,10512.00,9.99,
63.0,98.30,9.84,1019.60,10046.00,9.93,
63.5,92.67,9.86,922.50,9100.00,9.95,
64.0,91.00,9.83,904.80,8966.00,9.92,
64.5,83.82,9.84,874.90,8586.00,9.92,
65.0,71.39,9.83,687.30,6750.00,9.90,
65.5,75.50,9.83,759.90,7396.00,9.90,
66.0,77.80,9.82,771.10,7572.00,9.90,
66.5,144.37,9.71,1374.10,12410.00,9.86,
67.0,99.19,9.83,941.00,9828.00,9.93,
67.5,99.94,9.86,994.70,9818.00,9.96,
68.0,95.99,9.79,956.80,9388.00,9.88,
68.5,93.72,9.85,916.00,9018.00,9.94,
69.0,93.19,9.76,956.30,9384.00,9.85,
69.5,74.32,9.86,758.30,7320.00,9.93,
70.0,75.79,9.70,771.40,7488.00,9.78,
70.5,75.98,9.78,767.20,7508.00,9.86,
71.0,77.36,9.79,804.60,7874.00,9.87,
71.5,98.91,9.83,995.00,9484.00,9.93,
72.0,101.07,9.78,984.20,9732.00,9.88,
72.5,91.22,9.78,944.20,9218.00,9.88,
73.0,88.32,9.85,927.10,9122.00,9.94,
73.5,68.25,10.02,1373.10,12786.00,10.09,
74.0,72.98,9.86,736.30,7012.00,9.93,
74.5,71.29,9.92,744.50,7576.00,10.00,
75.0,74.82,9.86,755.90,7462.00,9.93,
75.5,101.04,9.82,1009.10,9892.00,9.92,
76.0,97.20,9.82,965.50,9414.00,9.92,
76.5,92.46,9.81,924.10,9076.00,9.90,
77.0,96.26,9.84,950.20,9280.00,9.94,
77.5,92.07,9.86,883.90,8858.00,9.96,
78.0,68.56,9.95,688.30,6836.00,10.02,
78.5,74.39,9.84,673.60,7092.00,9.92,
79.0,74.11,9.82,738.00,7226.00,9.90,
79.5,79.20,9.80,751.90,7376.00,9.88,
80.0,107.74,9.84,1091.50,9710.00,9.94,
80.5,96.88,9.79,963.00,9512.00,9.88,
81.0,96.28,9.91,938.30,9548.00,10.00,
81.5,96.90,9.76,954.40,9296.00,9.85,
82.0,88.10,9.80,867.40,8280.00,9.89,
82.5,68.88,9.86,702.90,6914.00,9.93,
83.0,76.11,9.85,763.80,7514.00,9.92,
83.5,76.70,9.82,734.00,7380.00,9.89,
84.0,79.62,9.83,801.90,7874.00,9.91,
84.5,95.52,9.77,973.40,9618.00,9.87,
85.0,96.57,9.77,950.70,9320.00,9.87,
85.5,87.14,9.81,887.40,8706.00,9.90,
86.0,88.36,9.78,869.20,8532.00,9.86,
86.5,86.99,9.79,862.20,8490.00,9.88,
87.0,71.72,9.89,681.70,7088.00,9.96,
87.5,69.29,9.92,725.60,7154.00,9.99,
88.0,75.52,9.86,755.70,7164.00,9.93,
88.5,85.15,9.79,1141.00,12924.00,9.88,
89.0,93.74,9.81,940.40,9234.00,9.91,
89.5,89.45,9.83,902.90,8874.00,9.92,
90.0,84.59,9.84,885.00,8700.00,9.93,
90.5,87.35,9.86,867.40,8546.00,9.95,
91.0,134.62,9.66,1261.40,12226.00,9.79,
91.5,71.99,9.84,731.50,7146.00,9.91,
92.0,75.31,9.88,731.50,7372.00,9.96,
92.5,76.21,9.79,757.50,7418.00,9.86,
93.0,93.30,9.85,962.10,9670.00,9.94,
93.5,89.03,9.78,928.10,9208.00,9.87,
94.0,91.28,9.86,907.50,8916.00,9.96,
94.5,69.82,9.90,724.20,6812.00,9.97,
95.0,90.45,9.75,892.50,8696.00,9.84,
95.5,68.99,9.85,681.40,6702.00,9.92,
96.0,75.30,9.84,679.50,6816.00,9.91,
96.5,75.04,9.84,755.90,7442.00,9.91,
97.0,75.98,9.82,764.10,7494.00,9.89,
97.5,98.31,9.85,965.20,9480.00,9.95,
98.0,97.86,9.83,964.20,9474.00,9.93,
98.5,87.85,9.74,904.50,8808.00,9.82,
99.0,107.55,9.71,1075.30,10454.00,9.82,
99.5,82.50,9.72,850.10,8188.00,9.80,
100.0,70.11,9.88,682.70,6750.00,9.95,
100.5,74.46,9.84,722.20,7128.00,9.91,
101.0,73.29,9.82,754.60,7498.00,9.89,
101.5,76.71,9.82,767.40,7432.00,9.90,
102.0,102.32,9.79,1021.20,10000.00,9.89,
102.5,91.71,9.76,893.30,8726.00,9.85,
103.0,92.28,9.74,890.00,8668.00,9.83,
103.5,89.30,9.73,883.20,8596.00,9.82,
104.0,87.69,9.76,880.40,8566.00,9.85,
104.5,66.91,9.84,702.40,6810.00,9.90,
105.0,68.25,9.84,729.80,7192.00,9.90,
105.5,75.19,9.78,756.40,7402.00,9.86,
106.0,118.60,9.60,1196.10,11492.00,9.71,
106.5,105.60,9.76,1052.50,10246.00,9.86,
107.0,93.40,9.74,937.40,8966.00,9.83,
107.5,91.54,9.86,916.10,8782.00,9.96,
108.0,87.88,9.81,890.60,8766.00,9.90,
108.5,84.95,9.76,855.40,8330.00,9.84,
109.0,70.64,9.78,709.30,6946.00,9.85,
109.5,72.59,9.74,724.50,7058.00,9.81,
110.0,75.98,9.74,751.00,7356.00,9.82,
110.5,74.31,9.72,919.80,9808.00,9.79,
111.0,97.14,9.61,1011.50,9746.00,9.71,
111.5,97.31,9.76,958.80,9372.00,9.86,
112.0,88.56,9.81,902.70,8844.00,9.90,
112.5,88.82,9.70,869.50,8422.00,9.79,
113.0,93.12,9.75,895.50,8704.00,9.84,
113.5,70.57,9.70,735.60,7140.00,9.77,
114.0,70.21,9.70,736.40,7128.00,9.77,
114.5,

 ,Average, Max 
shunt V (mV),=AVERAGE(B2:B239),=MAX(B2:B239) 
current mA ,=AVERAGE(D2:D239),=MAX(D2:D239) 
power mW ,=AVERAGE(E2:E239),=MAX(E2:E239), ,Joules,=SUM(E2:E239)/(2*1000)
