Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
61.0,113.43,9.58,1082.80,10436.00,9.69,
61.5,77.52,9.78,777.70,7566.00,9.86,
62.0,76.36,9.48,736.20,7012.00,9.56,
62.5,132.82,9.15,1510.40,13920.00,9.28,
63.0,77.26,9.63,766.30,7298.00,9.71,
63.5,75.52,9.49,732.60,7136.00,9.56,
64.0,73.55,9.74,738.50,7186.00,9.81,
64.5,79.06,9.48,764.80,7254.00,9.56,
65.0,125.61,9.34,1245.00,11424.00,9.47,
65.5,74.78,9.63,743.30,7254.00,9.70,
66.0,75.49,9.64,752.80,7242.00,9.71,
66.5,75.54,9.62,765.30,7360.00,9.70,
67.0,76.29,9.64,811.50,7880.00,9.72,
67.5,75.04,9.65,757.80,7298.00,9.72,
68.0,77.99,9.63,851.70,8524.00,9.71,
68.5,94.14,9.58,921.70,8860.00,9.67,
69.0,95.71,9.58,945.50,9008.00,9.68,
69.5,89.24,9.58,907.10,8714.00,9.67,
70.0,67.30,9.85,712.10,6982.00,9.92,
70.5,74.24,9.80,749.70,7346.00,9.87,
71.0,74.51,9.79,741.20,7274.00,9.86,
71.5,82.46,9.75,810.50,7914.00,9.83,
72.0,84.55,9.17,1612.30,14922.00,9.26,
72.5,74.46,9.52,744.90,7084.00,9.59,
73.0,73.43,9.51,752.50,7100.00,9.59,
73.5,113.27,9.44,1101.70,10430.00,9.56,
74.0,76.96,9.59,767.00,7324.00,9.66,
74.5,73.95,9.59,737.20,7056.00,9.66,
75.0,74.45,9.41,752.90,7072.00,9.48,
75.5,73.78,9.64,773.00,7478.00,9.71,
76.0,86.94,9.61,835.40,7816.00,9.69,
76.5,96.28,9.78,995.70,9574.00,9.88,
77.0,73.25,9.79,752.40,7366.00,9.86,
77.5,75.92,9.52,729.20,6944.00,9.60,
78.0,73.61,9.48,733.10,6960.00,9.55,
78.5,117.30,9.30,1166.90,10912.00,9.41,
79.0,78.59,9.60,785.70,7396.00,9.68,
79.5,102.13,9.39,1023.70,9542.00,9.49,
