Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
60.5,142.66,9.82,1350.20,13242.00,9.96,
61.0,119.10,9.87,1143.90,10696.00,9.99,
61.5,105.57,9.92,1048.40,10210.00,10.03,
62.0,91.11,9.92,927.30,9198.00,10.01,
62.5,92.05,9.91,955.20,9466.00,10.00,
63.0,92.08,9.91,926.90,9192.00,10.00,
63.5,77.04,9.93,765.40,7592.00,10.01,
64.0,76.52,9.97,690.50,7612.00,10.04,
64.5,77.29,9.93,733.90,7308.00,10.01,
65.0,70.33,10.00,738.70,7360.00,10.07,
65.5,99.55,9.90,953.70,9428.00,10.00,
66.0,95.50,9.92,946.00,9372.00,10.02,
66.5,83.92,9.92,886.50,8804.00,10.00,
67.0,92.35,9.92,896.50,8890.00,10.01,
67.5,97.25,9.99,773.30,7704.00,10.09,
68.0,72.84,9.94,724.80,7216.00,10.02,
68.5,75.10,9.94,713.00,7130.00,10.02,
69.0,76.46,9.95,753.60,7508.00,10.03,
69.5,75.90,9.94,794.70,7996.00,10.02,
70.0,99.70,9.89,976.60,9594.00,9.99,
70.5,95.54,9.89,936.50,9398.00,9.99,
71.0,70.66,9.93,719.90,7144.00,10.00,
71.5,90.77,9.91,905.00,8958.00,10.00,
72.0,71.45,9.94,737.90,7336.00,10.01,
72.5,76.42,9.92,706.60,7576.00,10.00,
73.0,78.29,9.94,792.40,7292.00,10.02,
73.5,74.57,9.94,751.80,7572.00,10.01,
74.0,110.82,9.89,1103.10,10390.00,10.00,
74.5,97.90,9.90,970.60,9602.00,10.00,
75.0,93.99,9.90,962.10,9526.00,9.99,
75.5,93.14,9.87,1000.20,9900.00,9.96,
76.0,91.51,9.91,893.40,8860.00,10.00,
76.5,68.56,9.96,690.20,6872.00,10.03,
77.0,76.01,9.92,789.20,6892.00,9.99,
77.5,77.70,9.92,803.90,7986.00,10.00,
78.0,153.61,9.85,1566.80,15302.00,10.00,
78.5,105.26,9.88,1077.50,10500.00,9.99,
79.0,96.80,9.92,948.70,9592.00,10.02,
79.5,91.22,9.91,949.40,9408.00,10.00,
80.0,92.37,9.92,930.00,9204.00,10.01,
80.5,90.46,9.92,930.00,9234.00,10.01,
81.0,72.87,9.96,727.40,7304.00,10.03,
81.5,78.83,9.86,821.50,7746.00,9.93,
82.0,79.24,9.94,805.10,8022.00,10.02,
82.5,86.66,9.79,1242.50,12276.00,9.87,
83.0,94.52,9.90,945.60,9496.00,9.99,
83.5,99.48,9.90,992.00,9824.00,10.00,
84.0,92.11,9.94,781.30,7416.00,10.03,
84.5,88.79,9.91,895.80,8886.00,10.00,
85.0,73.01,9.96,747.50,7432.00,10.03,
85.5,74.77,9.94,754.10,7678.00,10.02,
86.0,71.04,10.02,777.90,7710.00,10.10,
86.5,78.63,9.92,803.20,7508.00,10.00,
87.0,79.56,9.96,805.00,7716.00,10.04,
87.5,94.10,9.89,980.10,9686.00,9.98,
88.0,90.63,9.91,949.30,9388.00,10.00,
88.5,74.53,9.95,754.00,7488.00,10.03,
89.0,90.70,9.91,928.20,9198.00,10.00,
89.5,69.80,9.97,711.90,7088.00,10.04,
90.0,77.16,9.90,749.00,7478.00,9.97,
90.5,78.57,9.93,774.30,7680.00,10.01,
91.0,78.70,9.94,764.80,7606.00,10.01,
91.5,122.52,9.83,1213.10,11940.00,9.95,
92.0,97.03,9.89,960.10,9494.00,9.99,
92.5,90.58,9.92,962.70,9522.00,10.01,
93.0,95.79,9.88,948.60,9546.00,9.97,
93.5,89.46,9.90,907.30,9222.00,9.99,
94.0,70.47,9.94,713.00,7160.00,10.01,
94.5,79.24,9.93,810.60,8048.00,10.01,
95.0,74.49,9.94,756.10,7514.00,10.01,
95.5,95.81,9.91,950.80,8840.00,10.01,
96.0,166.38,9.71,1615.10,15732.00,9.88,
96.5,99.39,9.89,982.00,9722.00,9.99,
97.0,89.68,9.90,920.50,9100.00,9.99,
97.5,96.56,9.89,979.70,9582.00,9.98,
98.0,88.43,9.92,884.70,9094.00,10.00,
98.5,68.07,9.96,721.20,7174.00,10.02,
99.0,73.11,9.90,759.30,7550.00,9.97,
99.5,76.85,9.94,774.30,7694.00,10.01,
100.0,73.52,9.96,726.90,7304.00,10.04,
100.5,107.02,9.87,1122.00,11062.00,9.98,
101.0,96.65,9.89,984.90,9758.00,9.98,
101.5,90.66,9.91,964.50,9418.00,10.00,
102.0,85.45,9.92,900.90,8922.00,10.01,
102.5,98.93,9.86,982.30,9736.00,9.96,
103.0,73.32,9.94,733.80,7056.00,10.01,
103.5,72.71,9.95,761.70,7576.00,10.02,
104.0,75.62,9.93,773.40,7878.00,10.00,
104.5,113.88,9.88,1098.60,10420.00,9.99,
105.0,100.67,9.86,940.10,9336.00,9.96,
105.5,96.09,9.91,991.50,9782.00,10.00,
106.0,89.30,9.91,906.70,8972.00,10.00,
106.5,92.84,9.90,887.70,8818.00,10.00,
107.0,97.43,9.89,976.50,9660.00,9.99,
107.5,72.20,9.96,721.70,7154.00,10.03,
108.0,76.79,9.94,768.90,7704.00,10.01,
108.5,76.60,9.95,782.10,7766.00,10.02,
109.0,76.54,9.96,752.20,7472.00,10.03,
109.5,95.82,9.92,1006.90,9768.00,10.01,
110.0,95.30,9.93,929.80,8972.00,10.02,
110.5,96.84,9.89,960.70,9526.00,9.98,
111.0,90.49,9.90,866.50,8586.00,9.99,
111.5,70.20,9.96,720.30,7164.00,10.03,
112.0,75.82,9.92,757.20,7540.00,10.00,
112.5,72.97,9.94,771.30,7672.00,10.01,
113.0,74.26,9.94,770.80,7746.00,10.02,
113.5,79.71,9.97,769.60,7654.00,10.05,
114.0,91.86,9.92,987.30,9762.00,10.01,
114.5,91.36,9.91,918.10,9112.00,10.00,
115.0,66.60,9.95,701.70,6796.00,10.02,
115.5,88.30,9.91,893.90,9050.00,10.00,
116.0,70.54,9.95,712.20,7164.00,10.02,
116.5,73.88,9.94,750.90,7428.00,10.01,
117.0,75.57,9.94,770.30,7658.00,10.01,
117.5,76.44,9.92,768.20,7652.00,10.00,
118.0,76.90,9.96,754.00,7432.00,10.04,
118.5,88.46,9.92,955.80,9470.00,10.01,
119.0,94.18,9.90,922.00,9142.00,9.99,
119.5,

 ,Average, Max 
shunt V (mV),=AVERAGE(B2:B239),=MAX(B2:B239) 
current mA ,=AVERAGE(D2:D239),=MAX(D2:D239) 
power mW ,=AVERAGE(E2:E239),=MAX(E2:E239), ,Joules,=SUM(E2:E239)/(2*1000)
